2020年09月02日01时06分, 江苏盐城市射阳县(北纬33.74度, 东经120.42度)发生1.4级别地震。
2017年09月06日13时39分, 江苏盐城市东台市(北纬32.64度, 东经120.56度)发生3.0级别地震。
2017年08月31日19时22分, 江苏南通市通州区(北纬32.09度, 东经120.75度)发生0.5级别地震。
2017年08月28日07时49分, 江苏淮安市涟水县(北纬33.88度, 东经119.44度)发生0.6级别地震。
2017年08月20日08时42分, 江苏扬州市江都区(北纬32.38度, 东经119.81度)发生1.4级别地震。
2017年08月14日04时48分, 江苏盐城市东台市(北纬32.78度, 东经120.64度)发生1.1级别地震。
2017年08月11日04时38分, 上海徐汇区(北纬31.12度, 东经121.45度)发生0.7级别地震。
2017年08月11日02时14分, 山东日照市莒县(北纬35.51度, 东经118.88度)发生0.9级别地震。
2017年08月06日23时01分, 江苏盐城市东台市(北纬32.92度, 东经120.17度)发生1.0级别地震。
2017年07月27日15时13分, 江苏盐城市滨海县(北纬34.06度, 东经119.93度)发生1.3级别地震。
2017年07月23日06时21分, 江苏盐城市大丰区(北纬33.02度, 东经120.80度)发生1.6级别地震。
2017年07月21日06时31分, 山东日照市莒县(北纬35.40度, 东经118.79度)发生1.8级别地震。
2017年07月02日09时53分, 江苏盐城市东台市海域(北纬32.77度, 东经121.14度)发生1.9级别地震。
2017年07月01日22时45分, 江苏盐城市射阳县(北纬33.68度, 东经120.26度)发生0.9级别地震。
2017年06月23日22时47分, 安徽马鞍山市当涂县(北纬31.53度, 东经118.62度)发生1.7级别地震。
2017年06月09日21时56分, 江苏盐城市射阳县(北纬33.85度, 东经120.34度)发生3.2级别地震。
2017年06月08日11时35分, 江苏盐城市大丰区(北纬33.04度, 东经120.81度)发生1.8级别地震。
2017年06月07日11时17分, 安徽宿州市萧县(北纬34.30度, 东经116.79度)发生0.6级别地震。
2017年06月04日10时10分, 江苏盐城市响水县(北纬34.08度, 东经119.59度)发生1.4级别地震。
2017年06月04日10时10分, 江苏盐城市响水县(北纬34.10度, 东经119.64度)发生1.0级别地震。
2017年06月04日03时26分, 江苏淮安市盱眙县(北纬32.76度, 东经118.44度)发生2.5级别地震。
2017年05月31日22时57分, 江苏南通市海门市(北纬32.03度, 东经121.23度)发生2.6级别地震。
2017年05月24日15时19分, 安徽马鞍山市当涂县(北纬31.48度, 东经118.76度)发生0.7级别地震。
2017年05月18日01时38分, 山东临沂市罗庄区(北纬34.96度, 东经118.11度)发生1.0级别地震。
2017年05月15日23时32分, 江苏南通市如东县海域(北纬32.66度, 东经121.63度)发生0.9级别地震。
2017年05月10日22时03分, 山东临沂市莒南县(北纬35.36度, 东经118.78度)发生1.0级别地震。
2017年05月10日04时57分, 山东济宁市微山县(北纬35.04度, 东经116.80度)发生1.7级别地震。
2017年05月08日02时15分, 山东日照市莒县(北纬35.60度, 东经118.93度)发生1.0级别地震。
2017年05月08日02时12分, 江苏盐城市亭湖区(北纬33.45度, 东经120.15度)发生1.8级别地震。
2017年05月08日02时09分, 江苏盐城市亭湖区(北纬33.45度, 东经120.14度)发生1.0级别地震。
2017年05月08日01时59分, 江苏盐城市亭湖区(北纬33.44度, 东经120.15度)发生2.0级别地震。
2017年05月07日14时36分, 江苏盐城市响水县海域(北纬34.65度, 东经120.15度)发生0.8级别地震。
2017年05月07日14时34分, 江苏盐城市响水县海域(北纬34.64度, 东经120.17度)发生0.5级别地震。
2017年05月07日10时14分, 江苏盐城市响水县(北纬34.35度, 东经119.77度)发生1.6级别地震。
2017年05月07日02时32分, 江苏高邮(北纬32.84度, 东经119.69度)发生1.4级别地震。
2017年05月04日06时09分, 江苏盐城市响水县(北纬34.38度, 东经119.82度)发生0.7级别地震。
2017年04月25日14时29分, 江苏淮安(北纬33.55度, 东经119.38度)发生0.5级别地震。
2017年04月13日03时20分, 江苏盐城市阜宁县(北纬33.70度, 东经119.58度)发生1.5级别地震。
2017年04月06日01时57分, 江苏盐城市大丰区海域(北纬33.24度, 东经120.91度)发生1.3级别地震。
2017年04月06日01时54分, 江苏盐城市射阳县海域(北纬33.81度, 东经121.03度)发生2.0级别地震。
2017年04月04日03时20分, 山东济宁市微山县(北纬34.75度, 东经117.16度)发生0.8级别地震。
2017年04月03日14时50分, 江苏扬州市仪征市(北纬32.34度, 东经119.03度)发生1.0级别地震。
2017年03月28日17时52分, 江苏盐城市滨海县(北纬34.03度, 东经119.89度)发生1.7级别地震。
2017年03月23日23时01分, 江苏连云港市赣榆区海域(北纬35.18度, 东经119.88度)发生1.4级别地震。
2017年03月12日05时40分, 山东临沂市河东区(北纬35.02度, 东经118.52度)发生1.2级别地震。
2017年02月24日19时26分, 江苏淮安市金湖县(北纬33.16度, 东经119.20度)发生1.5级别地震。
2017年02月24日19时24分, 江苏淮安市金湖县(北纬33.15度, 东经119.20度)发生0.8级别地震。
2017年02月15日19时06分, 江苏徐州市铜山区(北纬34.35度, 东经117.21度)发生1.1级别地震。
2017年02月14日23时33分, 山东日照市东港区(北纬35.54度, 东经119.40度)发生1.3级别地震。
2017年02月11日02时48分, 安徽滁州市天长市(北纬32.94度, 东经118.96度)发生0.8级别地震。
2017年02月10日13时42分, 安徽滁州市天长市(北纬32.95度, 东经118.98度)发生1.3级别地震。
2017年02月10日13时36分, 安徽滁州市天长市(北纬32.93度, 东经118.94度)发生0.9级别地震。
2017年02月09日17时29分, 江苏南通市崇川区(北纬31.85度, 东经120.92度)发生1.2级别地震。
2017年02月09日14时06分, 山东临沂市临沭县(北纬35.04度, 东经118.60度)发生0.8级别地震。
2017年02月08日10时52分, 江苏盐城市射阳县(北纬33.65度, 东经120.31度)发生1.2级别地震。
2017年02月05日00时45分, 江苏无锡市江阴市(北纬31.93度, 东经120.20度)发生2.7级别地震。
2017年01月29日07时20分, 江苏盐城市东台市(北纬32.79度, 东经120.84度)发生1.1级别地震。
2017年01月29日07时19分, 江苏盐城市东台市(北纬32.83度, 东经120.66度)发生2.6级别地震。
2017年01月29日07时13分, 江苏盐城市东台市(北纬32.85度, 东经120.67度)发生1.7级别地震。
2017年01月26日02时18分, 江苏盐城市大丰区海域(北纬33.66度, 东经120.98度)发生1.8级别地震。
2017年01月25日14时17分, 江苏盐城市射阳县(北纬33.98度, 东经120.23度)发生0.8级别地震。
2017年01月22日19时40分, 江苏常州市金坛区(北纬31.68度, 东经119.47度)发生2.1级别地震。
2017年01月15日12时52分, 山东济宁市微山县(北纬34.72度, 东经117.22度)发生0.7级别地震。
2017年01月13日12时11分, 山东枣庄市台儿庄区(北纬34.60度, 东经117.68度)发生1.0级别地震。
2017年01月03日04时44分, 江苏盐城市射阳县(北纬33.66度, 东经120.24度)发生1.7级别地震。
2016年12月29日12时54分, 江苏苏州市常熟市(北纬31.65度, 东经120.72度)发生1.6级别地震。
2016年12月29日04时27分, 江苏南通市如皋市(北纬32.26度, 东经120.55度)发生0.5级别地震。
2016年12月22日16时26分, 江苏溧阳(北纬31.56度, 东经119.52度)发生0.9级别地震。
2016年12月22日06时50分, 浙江吴兴(北纬30.86度, 东经119.96度)发生1.2级别地震。
2016年12月22日05时38分, 江苏淮安市金湖县(北纬32.96度, 东经119.25度)发生1.1级别地震。
2016年12月11日12时00分, 江苏扬州市江都区(北纬32.56度, 东经119.79度)发生1.8级别地震。
2016年12月08日20时24分, 江苏扬州市高邮市(北纬32.99度, 东经119.60度)发生1.8级别地震。
2016年12月04日23时21分, 江苏扬州市高邮市(北纬33.01度, 东经119.59度)发生1.1级别地震。
2016年11月30日13时03分, 江苏连云港市赣榆区海域(北纬34.77度, 东经119.94度)发生2.4级别地震。
2016年11月29日18时06分, 江苏盐城市射阳县(北纬33.68度, 东经120.30度)发生1.6级别地震。
2016年11月22日18时15分, 山东济宁市微山县(北纬35.02度, 东经116.79度)发生2.2级别地震。
2016年11月17日11时14分, 江苏盐城市射阳县(北纬33.65度, 东经120.36度)发生1.9级别地震。
2016年11月14日06时39分, 江苏盐城市大丰区(北纬33.17度, 东经120.82度)发生1.6级别地震。
2016年11月13日17时24分, 江苏南京市江宁区(北纬31.62度, 东经118.81度)发生1.9级别地震。
2016年11月13日05时10分, 江苏盐城市大丰区(北纬33.13度, 东经120.73度)发生1.2级别地震。
2016年11月13日05时10分, 江苏盐城市大丰区海域(北纬33.23度, 东经120.85度)发生1.5级别地震。
2016年10月30日12时43分, 江苏盐城市射阳县(北纬33.71度, 东经120.45度)发生1.0级别地震。
2016年10月27日08时24分, 江苏盐城市射阳县(北纬33.68度, 东经120.30度)发生1.0级别地震。
2016年10月25日05时43分, 江苏盐城市射阳县(北纬33.69度, 东经120.29度)发生1.7级别地震。
2016年10月23日16时32分, 江苏盐城市射阳县(北纬33.70度, 东经120.26度)发生1.0级别地震。
2016年10月23日13时24分, 江苏盐城市射阳县(北纬33.70度, 东经120.27度)发生1.6级别地震。
2016年10月22日12时54分, 安徽马鞍山市花山区(北纬31.72度, 东经118.49度)发生1.3级别地震。
2016年10月22日01时30分, 江苏射阳(北纬33.68度, 东经120.25度)发生1.0级别地震。
2016年10月21日17时09分, 江苏射阳(北纬33.69度, 东经120.23度)发生1.1级别地震。
2016年10月21日01时40分, 江苏射阳(北纬33.68度, 东经120.39度)发生0.9级别地震。
2016年10月20日20时00分, 江苏盐城市射阳县(北纬33.68度, 东经120.32度)发生1.3级别地震。
2016年10月20日06时23分, 江苏盐城市射阳县(北纬33.68度, 东经120.31度)发生0.9级别地震。
2016年10月20日04时51分, 江苏盐城市射阳县(北纬33.70度, 东经120.30度)发生4.4级别地震。
2016年10月19日22时01分, 江苏盐城市射阳县(北纬33.72度, 东经120.29度)发生1.9级别地震。
2016年10月18日13时08分, 江苏盐城市射阳县(北纬33.73度, 东经120.23度)发生1.4级别地震。
2016年10月17日16时28分, 江苏盐城市射阳县(北纬33.67度, 东经120.33度)发生1.4级别地震。
2016年10月17日00时13分, 江苏盐城市射阳县(北纬33.70度, 东经120.30度)发生1.9级别地震。
2016年10月17日00时13分, 江苏盐城市射阳县(北纬33.70度, 东经120.30度)发生1.9级别地震。
2016年10月16日19时47分, 江苏盐城市射阳县(北纬33.70度, 东经120.24度)发生1.0级别地震。
2016年10月16日08时24分, 江苏盐城市射阳县(北纬33.73度, 东经120.27度)发生1.0级别地震。
2016年10月16日08时17分, 江苏盐城市射阳县(北纬33.67度, 东经120.38度)发生0.8级别地震。
2016年10月16日07时19分, 江苏盐城市射阳县(北纬33.61度, 东经120.42度)发生0.8级别地震。
2016年10月16日00时20分, 江苏盐城市射阳县(北纬33.67度, 东经120.28度)发生1.2级别地震。
2016年10月15日19时34分, 江苏射阳(北纬33.74度, 东经120.24度)发生0.9级别地震。
2016年10月15日19时14分, 江苏盐城市射阳县(北纬33.70度, 东经120.30度)发生2.1级别地震。
2016年10月15日17时02分, 江苏盐城市射阳县(北纬33.71度, 东经120.28度)发生2.4级别地震。
2016年10月15日16时41分, 江苏盐城市射阳县(北纬33.65度, 东经120.33度)发生2.9级别地震。
2016年10月13日22时32分, 江苏盐城市射阳县(北纬33.66度, 东经120.35度)发生2.6级别地震。
2016年10月11日02时36分, 江苏盐城市滨海县、射阳交界海域(北纬34.06度, 东经120.40度)发生0.9级别地震。
2016年10月09日09时05分, 江苏盐城市射阳县(北纬33.85度, 东经120.08度)发生2.0级别地震。
2016年10月07日19时51分, 安徽马鞍山市当涂县(北纬31.52度, 东经118.86度)发生1.0级别地震。
2016年10月04日23时13分, 江苏南通市如东县海域(北纬32.61度, 东经121.50度)发生1.2级别地震。
2016年10月02日07时09分, 山东临沂市临沭县(北纬34.86度, 东经118.53度)发生1.3级别地震。
2016年09月22日05时36分, 江苏连云港市连云区、连云港市区赣榆交界海域(北纬34.84度, 东经119.19度)发生0.6级别地震。
2016年09月09日21时10分, 江苏连云港市灌云县(北纬34.52度, 东经119.70度)发生1.5级别地震。
2016年09月09日10时12分, 上海崇明县海域(北纬31.24度, 东经122.20度)发生1.4级别地震。
2016年09月01日11时58分, 江苏盐城市大丰区(北纬33.15度, 东经120.71度)发生2.0级别地震。
2016年09月01日09时04分, 江苏盐城市大丰区海域(北纬33.18度, 东经120.82度)发生2.3级别地震。
2016年09月01日00时28分, 中国台湾地区(北纬23.57度, 东经122.28度)发生3.7级别地震。
2016年08月31日00时49分, 江苏盐城市大丰区海域(北纬33.15度, 东经120.82度)发生1.6级别地震。
2016年08月27日14时01分, 山东潍坊市寿光市(北纬36.88度, 东经118.94度)发生2.2级别地震。
2016年08月23日14时51分, 黄海海域(北纬35.25度, 东经121.02度)发生2.2级别地震。
2016年08月20日02时20分, 江苏盐城市大丰区(北纬33.08度, 东经120.75度)发生2.0级别地震。
2016年08月19日13时17分, 黄海海域(北纬35.34度, 东经120.82度)发生1.8级别地震。
2016年08月19日00时06分, 江苏盐城(北纬33.17度, 东经120.70度)发生1.0级别地震。
2016年08月18日09时54分, 江苏连云港市赣榆区海域(北纬34.77度, 东经119.87度)发生1.4级别地震。
2016年08月18日09时38分, 江苏连云港市灌云县海域(北纬34.76度, 东经119.86度)发生1.4级别地震。
2016年08月18日00时21分, 江苏盐城市大丰区(北纬33.16度, 东经120.80度)发生2.2级别地震。
2016年08月17日21时41分, 江苏盐城市大丰区(北纬33.18度, 东经120.80度)发生2.0级别地震。
2016年08月13日23时04分, 江苏盐城市大丰区(北纬33.12度, 东经120.77度)发生1.0级别地震。
2016年08月11日08时33分, 安徽铜陵市枞阳县(北纬31.00度, 东经117.23度)发生1.5级别地震。
2016年08月10日23时18分, 江苏省南京市浦口区(北纬32.01度, 东经118.45度)发生1.3级别地震。
2016年07月15日01时16分, 河南濮阳市濮阳县(北纬35.59度, 东经115.33度)发生1.2级别地震。
2016年07月12日06时27分, 上海浦东新区海域(北纬31.21度, 东经122.10度)发生2.0级别地震。
2016年07月11日03时33分, 江苏南通市海门市(北纬31.92度, 东经121.31度)发生0.7级别地震。
2016年07月02日21时21分, 江苏南通市如东县(北纬32.36度, 东经120.81度)发生0.5级别地震。
2016年06月27日14时26分, 江苏盐城市东台市海域(北纬32.95度, 东经121.38度)发生1.6级别地震。
2016年06月22日00时08分, 山东临沭(北纬35.02度, 东经118.57度)发生0.6级别地震。
2016年06月21日10时17分, 山东烟台市莱州市(北纬37.03度, 东经119.72度)发生2.4级别地震。
2016年06月13日00时28分, 黄海海域(北纬32.40度, 东经122.17度)发生1.5级别地震。
2016年06月12日21时27分, 黄海海域(北纬32.40度, 东经122.14度)发生1.2级别地震。
2016年06月12日05时04分, 安徽马鞍山市博望区(北纬31.57度, 东经118.79度)发生0.8级别地震。
2016年06月10日16时04分, 江苏镇江市丹阳市(北纬31.83度, 东经119.68度)发生1.9级别地震。
2016年05月21日22时47分, 江苏如东附近海域(北纬32.40度, 东经121.58度)发生2.4级别地震。
2016年05月18日06时45分, 江苏东台(北纬32.62度, 东经120.17度)发生1.6级别地震。
2016年05月16日19时21分, 江苏连云港市赣榆区海域(北纬35.18度, 东经119.55度)发生0.9级别地震。
2016年05月09日18时54分, 黄海海域(北纬31.35度, 东经123.30度)发生3.1级别地震。
2016年05月09日18时53分, 黄海海域(北纬31.32度, 东经123.37度)发生2.1级别地震。
2016年05月05日19时56分, 安徽芜湖市无为县(北纬31.31度, 东经117.74度)发生1.5级别地震。
2016年05月04日10时13分, 安徽芜湖市无为县(北纬31.32度, 东经117.72度)发生1.7级别地震。
2016年05月02日05时05分, 江苏泰州市姜堰区(北纬32.62度, 东经120.07度)发生1.2级别地震。
2016年04月29日10时11分, 江苏徐州市贾汪区(北纬34.37度, 东经117.42度)发生0.7级别地震。
2016年04月29日10时11分, 黄海海域(北纬34.70度, 东经121.23度)发生1.2级别地震。
2016年04月27日10时35分, 河南濮阳市范县(北纬35.73度, 东经115.43度)发生2.3级别地震。
2016年04月24日17时12分, 山东泰安市肥城市(北纬36.27度, 东经116.60度)发生1.7级别地震。
2016年04月24日08时45分, 江苏盐城市射阳县(北纬33.78度, 东经120.43度)发生1.3级别地震。
2016年04月15日19时20分, 安徽芜湖市无为县(北纬31.30度, 东经117.74度)发生1.9级别地震。
2016年04月15日17时55分, 安徽芜湖市无为县(北纬31.32度, 东经117.71度)发生2.9级别地震。
2016年04月15日14时49分, 安徽芜湖市无为县(北纬31.32度, 东经117.72度)发生2.5级别地震。
2016年04月11日03时34分, 江苏南通市如皋市(北纬32.39度, 东经120.60度)发生1.8级别地震。
2016年04月10日21时42分, 江苏扬州市高邮市(北纬32.73度, 东经119.64度)发生2.4级别地震。
2016年04月06日17时29分, 江苏淮安市盱眙县(北纬33.06度, 东经118.80度)发生1.5级别地震。
2016年04月02日23时35分, 黄海海域(北纬34.57度, 东经122.28度)发生3.4级别地震。
2016年04月02日22时22分, 安徽合肥市庐江县(北纬31.01度, 东经117.26度)发生1.4级别地震。
2016年04月02日16时51分, 江苏南通市如东县海域(北纬32.50度, 东经121.82度)发生1.3级别地震。
2016年03月26日22时09分, 江苏盐城市大丰市(北纬32.83度, 东经120.61度)发生1.0级别地震。
2016年03月26日14时27分, 黄海海域(北纬32.47度, 东经123.58度)发生2.8级别地震。
2016年03月21日00时59分, 江苏滨海(北纬33.78度, 东经119.84度)发生1.6级别地震。
2016年03月16日19时21分, 江苏盐城市大丰区海域(北纬33.51度, 东经121.09度)发生2.3级别地震。
